"","cluster_assignment","id","name","IBU","ABV","SRM"
"181","12","yORSh7","Bourbon Barrel Aged Imperial Stout",1.14863850275351,1.6462655761917,2.17185288134246
"182","12","giziAd","Bourbon Barrel Aged Imperial Stout With Coffee",1.14863850275351,1.6462655761917,2.17185288134246
"183","12","t28a6A","Brandy Barrel-Aged Ten Fidy",1.14863850275351,1.6462655761917,2.17185288134246
"184","10","PRRZBx","Brass & Blues",-0.513560575624259,-0.00280415670296819,-0.534519000686608
"185","14","hImGQV","Braupakt",-1.34466011481315,-0.717401040957324,-0.796425957012002
"186","12","KuiKeS","Breakfast At Chicos",0.0800819523678023,1.6462655761917,2.17185288134246
"187","15","pZEIiV","Breck IPA",0.911181491556689,0.217071807682988,-0.447216681911477
"188","5","IkgmFq","Breckenridge Christmas Ale",0.198810457966215,-0.332618103281901,-0.447216681911477
"189","15","RcyKuX","Bretthead",0.911181491556689,0.217071807682988,-0.447216681911477
"190","11","bMv56j","Brewery Lane Series: Biere De Garde",-0.751017586821084,-0.14022663444419,-0.272612044361214
"191","16","9slIEB","Broken Vow",0.0800819523678023,0.546885754261921,2.17185288134246
"192","15","CRw8Gu","Brown Eyed Buckeye",0.911181491556689,0.217071807682988,-0.447216681911477
"193","5","TpiDMC","Brown Shugga'",0.198810457966215,-0.332618103281901,-0.447216681911477
"194","5","d2nhC0","Brown's Point ESB",-0.157375058829022,-0.662432049860835,-0.359914363136346
"195","10","P3fflp","Bubbly Wit",-0.869746092419496,0.217071807682988,-0.840077116399567
"196","2","8MMa77","Bud Dry",-1.58211712600997,-1.40451342966343,-1.0583329133374
"197","18","W2dlxg","Bud Extra",-0.157375058829022,0.409463276520699,1.08057389665332
"198","13","qGhR1j","Bud Ice",-1.43964291929188,-1.01973049198801,-0.971030594562264
"199","13","SaQFBA","Bud Ice Light",-1.43964291929188,-1.01973049198801,-0.971030594562264
"200","2","dimtrs","Bud Light",-1.58211712600997,-1.40451342966343,-1.0583329133374
"201","2","Abbvjh","Bud Light Apple",-1.58211712600997,-1.40451342966343,-1.0583329133374
"202","18","Dvucvo","Bud Light Blends Lemon",-0.157375058829022,0.409463276520699,1.08057389665332
"203","2","t9aucT","Bud Light Chelada",-1.58211712600997,-1.40451342966343,-1.0583329133374
"204","10","4zruzt","Bud Light Golden Wheat",-0.869746092419496,0.217071807682988,-0.840077116399567
"205","2","MzoCPz","Bud Light Lime",-1.58211712600997,-1.40451342966343,-1.0583329133374
"206","2","WQsARu","Bud Light Orange",-1.58211712600997,-1.40451342966343,-1.0583329133374
"207","2","hd8yE8","Bud Light Platinum",-1.58211712600997,-1.40451342966343,-1.0583329133374
"208","18","LXWiDB","Bud Light Radler - Grapefuit",-0.157375058829022,0.409463276520699,1.08057389665332
"209","18","doijNb","Buddha's Hand - Mountain Series",-0.157375058829022,0.409463276520699,1.08057389665332
"210","13","1P45iR","Budweiser",-1.51088002265092,-1.15715296972923,-1.0583329133374
